GAME_DATE_EST	TEAM_ID_home	PTS_home	FG_PCT_home	FT_PCT_home	FG3_PCT_home	AST_home	REB_home	HOME_TEAM_WINS
14/12/2022	1610612746	99	0.382	0.81	0.304	21	52	1
13/12/2022	1610612755	123	0.512	0.778	0.457	34	42	1
13/12/2022	1610612749	128	0.549	0.813	0.414	22	55	1
13/12/2022	1610612745	111	0.42	0.912	0.343	16	67	1
13/12/2022	1610612762	121	0.476	0.667	0.319	31	59	1
13/12/2022	1610612747	118	0.473	0.733	0.276	23	49	0
12/12/2022	1610612754	82	0.354	0.75	0.282	16	45	0
12/12/2022	1610612764	100	0.468	0.682	0.355	21	44	0
12/12/2022	1610612763	128	0.602	0.833	0.406	36	49	1
12/12/2022	1610612742	121	0.419	0.84	0.407	24	50	1
12/12/2022	1610612759	112	0.474	0.688	0.333	25	46	1
12/12/2022	1610612757	133	0.539	0.762	0.457	32	54	1
12/12/2022	1610612746	113	0.489	0.714	0.4	18	46	1
11/12/2022	1610612740	129	0.581	0.75	0.32	31	43	1
11/12/2022	1610612765	117	0.462	0.824	0.378	28	40	0
11/12/2022	1610612752	112	0.449	0.889	0.229	19	55	1
11/12/2022	1610612753	111	0.468	0.806	0.452	25	42	1
11/12/2022	1610612755	131	0.554	0.813	0.481	31	41	1
11/12/2022	1610612737	123	0.48	0.762	0.333	28	45	1
11/12/2022	1610612745	97	0.44	0.917	0.222	23	49	1
10/12/2022	1610612748	111	0.481	0.714	0.382	26	32	0
10/12/2022	1610612754	133	0.553	0.75	0.477	30	30	0
10/12/2022	1610612764	107	0.435	0.895	0.471	24	50	0
10/12/2022	1610612739	110	0.471	0.692	0.375	25	48	1
10/12/2022	1610612741	144	0.635	0.708	0.559	33	44	1
10/12/2022	1610612744	123	0.511	0.8	0.333	26	53	1
10/12/2022	1610612743	115	0.547	0.813	0.308	28	39	1
10/12/2022	1610612757	124	0.518	0.893	0.382	20	45	1
9/12/2022	1610612766	102	0.44	0.786	0.231	16	45	0
9/12/2022	1610612754	121	0.506	0.85	0.439	23	40	1
9/12/2022	1610612753	113	0.592	0.905	0.385	24	43	1
9/12/2022	1610612751	120	0.542	0.81	0.433	30	38	1
9/12/2022	1610612739	95	0.43	0.773	0.333	20	36	0
9/12/2022	1610612755	133	0.533	0.864	0.45	30	42	1
9/12/2022	1610612763	114	0.484	0.531	0.281	30	48	1
9/12/2022	1610612740	128	0.511	0.8	0.296	27	44	1
9/12/2022	1610612762	108	0.433	0.708	0.295	22	40	0
9/12/2022	1610612742	105	0.466	0.417	0.325	21	43	0
8/12/2022	1610612748	115	0.511	0.786	0.375	24	43	1
8/12/2022	1610612759	118	0.554	0.867	0.361	25	38	1
8/12/2022	1610612757	120	0.484	1	0.4	30	38	0
7/12/2022	1610612753	116	0.421	0.903	0.286	20	53	1
7/12/2022	1610612751	122	0.57	0.75	0.387	33	39	1
7/12/2022	1610612752	113	0.446	0.917	0.472	26	55	1
7/12/2022	1610612761	126	0.443	0.833	0.279	25	54	1
7/12/2022	1610612741	115	0.5	0.882	0.435	29	41	1
7/12/2022	1610612763	123	0.511	0.813	0.368	32	50	1
7/12/2022	1610612749	126	0.479	0.833	0.424	34	50	1
7/12/2022	1610612750	121	0.473	0.926	0.348	25	51	1
7/12/2022	1610612740	104	0.459	0.783	0.296	21	50	1
7/12/2022	1610612762	124	0.535	0.81	0.429	26	40	1
7/12/2022	1610612756	98	0.398	0.842	0.25	19	49	0
6/12/2022	1610612739	116	0.516	0.765	0.259	25	44	1
6/12/2022	1610612748	96	0.429	0.769	0.313	21	40	0
6/12/2022	1610612743	115	0.513	0.786	0.406	30	36	0
5/12/2022	1610612766	117	0.48	0.647	0.353	29	49	0
5/12/2022	1610612753	102	0.366	0.897	0.25	21	52	0
5/12/2022	1610612737	114	0.431	0.765	0.342	24	54	0
5/12/2022	1610612761	110	0.459	0.733	0.357	19	46	0
5/12/2022	1610612745	132	0.447	0.773	0.359	19	51	1
5/12/2022	1610612763	101	0.467	1	0.25	23	41	1
5/12/2022	1610612742	130	0.524	0.846	0.488	23	41	1
5/12/2022	1610612744	104	0.404	0.789	0.295	26	47	0
4/12/2022	1610612740	121	0.506	0.778	0.423	29	36	1
4/12/2022	1610612759	95	0.437	0.722	0.194	19	40	0
4/12/2022	1610612751	92	0.405	0.682	0.346	17	45	0
4/12/2022	1610612765	112	0.44	0.833	0.371	26	39	0
4/12/2022	1610612752	92	0.407	0.81	0.172	17	54	1
4/12/2022	1610612764	119	0.467	0.733	0.256	24	44	0
4/12/2022	1610612758	110	0.465	0.895	0.302	30	46	1
4/12/2022	1610612757	116	0.488	0.682	0.425	32	45	1
3/12/2022	1610612752	100	0.455	0.714	0.323	18	45	0
3/12/2022	1610612746	96	0.355	0.808	0.273	15	50	0
3/12/2022	1610612766	96	0.391	0.885	0.208	15	44	0
3/12/2022	1610612761	121	0.56	0.72	0.31	31	43	1
3/12/2022	1610612750	128	0.528	0.8	0.333	25	44	0
3/12/2022	1610612744	120	0.529	0.5	0.481	34	35	1
3/12/2022	1610612762	111	0.452	0.786	0.361	20	44	0
2/12/2022	1610612766	117	0.421	0.806	0.414	25	45	1
2/12/2022	1610612737	117	0.557	0.643	0.357	24	43	1
2/12/2022	1610612738	116	0.46	0.75	0.333	26	48	0
2/12/2022	1610612751	114	0.537	0.682	0.344	27	41	1
2/12/2022	1610612739	107	0.488	1	0.381	22	33	1
2/12/2022	1610612749	129	0.532	0.8	0.395	29	42	0
2/12/2022	1610612763	117	0.433	0.786	0.367	22	57	1
2/12/2022	1610612759	99	0.388	0.75	0.282	26	49	0
2/12/2022	1610612756	121	0.529	0.737	0.459	30	37	0
2/12/2022	1610612762	139	0.554	0.865	0.441	29	47	1
2/12/2022	1610612744	119	0.483	0.652	0.4	32	50	1
1/12/2022	1610612765	131	0.543	0.583	0.429	29	52	1
30/11/2022	1610612739	113	0.608	0.8	0.517	28	40	1
30/11/2022	1610612753	108	0.494	0.88	0.296	26	33	0
30/11/2022	1610612738	134	0.554	0.87	0.489	32	41	1
30/11/2022	1610612751	113	0.464	0.923	0.423	22	35	1
30/11/2022	1610612752	103	0.42	0.65	0.2	18	55	0
30/11/2022	1610612750	109	0.461	0.789	0.308	26	29	1
30/11/2022	1610612740	126	0.523	0.846	0.424	28	52	1
30/11/2022	1610612760	119	0.511	0.667	0.333	17	52	1
30/11/2022	1610612743	120	0.53	0.75	0.531	30	42	1
30/11/2022	1610612756	132	0.527	0.905	0.455	22	46	1
30/11/2022	1610612762	125	0.556	0.75	0.438	24	46	1
30/11/2022	1610612758	137	0.505	0.862	0.372	28	58	1
30/11/2022	1610612747	128	0.495	0.692	0.378	28	48	1
29/11/2022	1610612765	110	0.506	0.65	0.333	28	30	0
29/11/2022	1610612742	116	0.462	0.63	0.341	21	39	1
29/11/2022	1610612757	112	0.467	0.733	0.486	24	43	0
28/11/2022	1610612755	104	0.453	0.889	0.357	23	37	1
28/11/2022	1610612764	142	0.571	0.852	0.484	31	34	1
28/11/2022	1610612738	140	0.591	0.857	0.462	40	39	1
28/11/2022	1610612751	109	0.543	0.857	0.321	20	42	1
28/11/2022	1610612761	100	0.44	0.824	0.429	23	45	1
28/11/2022	1610612740	105	0.448	0.9	0.281	21	49	1
28/11/2022	1610612743	129	0.568	0.85	0.4	31	43	1
28/11/2022	1610612762	107	0.482	0.4	0.388	30	45	0
28/11/2022	1610612758	117	0.523	0.889	0.36	32	37	0
28/11/2022	1610612747	115	0.43	0.774	0.355	23	57	0
27/11/2022	1610612751	111	0.526	0.778	0.429	27	38	1
27/11/2022	1610612750	114	0.443	0.759	0.4	22	31	0
27/11/2022	1610612746	114	0.447	0.75	0.188	33	62	1
27/11/2022	1610612737	98	0.398	0.947	0.278	24	42	0
27/11/2022	1610612738	130	0.55	1	0.471	25	38	1
27/11/2022	1610612765	94	0.456	0.538	0.286	14	36	0
27/11/2022	1610612752	123	0.506	0.833	0.333	30	42	0
27/11/2022	1610612753	103	0.456	0.76	0.3	21	26	0
27/11/2022	1610612749	124	0.558	0.733	0.459	28	40	1
26/11/2022	1610612761	105	0.432	0.808	0.308	20	48	1
26/11/2022	1610612745	118	0.523	0.714	0.5	25	53	1
26/11/2022	1610612759	138	0.505	0.7	0.486	33	47	0
26/11/2022	1610612756	113	0.457	0.767	0.273	23	48	1
25/11/2022	1610612766	110	0.449	0.688	0.32	24	55	1
25/11/2022	1610612753	99	0.425	0.815	0.257	20	35	0
25/11/2022	1610612752	129	0.438	0.857	0.317	27	44	0
25/11/2022	1610612738	122	0.494	0.889	0.432	27	38	1
25/11/2022	1610612754	128	0.5	0.789	0.353	28	41	1
25/11/2022	1610612748	110	0.472	0.826	0.269	24	47	1
25/11/2022	1610612745	128	0.471	0.829	0.343	25	59	1
25/11/2022	1610612763	132	0.516	0.741	0.474	26	46	1
25/11/2022	1610612749	117	0.506	0.72	0.469	27	43	1
25/11/2022	1610612760	123	0.463	0.875	0.241	24	50	1
25/11/2022	1610612759	94	0.38	0.75	0.182	21	50	0
25/11/2022	1610612756	108	0.483	0.654	0.241	25	43	1
25/11/2022	1610612744	129	0.515	0.833	0.444	33	49	1
25/11/2022	1610612746	104	0.544	0.559	0.5	22	33	0
23/11/2022	1610612766	107	0.478	0.619	0.261	25	44	1
23/11/2022	1610612739	114	0.554	0.87	0.444	22	39	1
23/11/2022	1610612754	101	0.385	0.688	0.364	25	30	0
23/11/2022	1610612737	115	0.446	0.957	0.367	23	47	1
23/11/2022	1610612738	125	0.536	0.857	0.5	29	38	1
23/11/2022	1610612748	113	0.419	0.864	0.39	20	53	1
23/11/2022	1610612761	98	0.356	0.76	0.241	16	52	0
23/11/2022	1610612749	113	0.456	0.76	0.316	24	48	0
23/11/2022	1610612760	126	0.433	0.857	0.45	26	39	0
23/11/2022	1610612759	110	0.482	0.643	0.294	31	37	0
23/11/2022	1610612762	116	0.494	0.842	0.439	31	38	0
23/11/2022	1610612744	124	0.495	0.692	0.373	36	45	1
22/11/2022	1610612755	115	0.434	0.813	0.5	19	49	1
22/11/2022	1610612763	109	0.451	0.633	0.267	26	49	0
22/11/2022	1610612743	108	0.5	0.654	0.263	28	42	0
22/11/2022	1610612756	115	0.471	0.6	0.471	23	49	1
21/11/2022	1610612739	114	0.6	0.87	0.526	24	37	1
21/11/2022	1610612754	123	0.5	0.889	0.283	32	48	1
21/11/2022	1610612741	121	0.517	0.75	0.483	26	51	1
21/11/2022	1610612749	119	0.547	0.64	0.321	31	42	1
21/11/2022	1610612750	105	0.435	0.85	0.298	30	40	1
21/11/2022	1610612740	128	0.538	0.714	0.357	30	50	1
21/11/2022	1610612760	119	0.489	0.781	0.333	25	38	0
21/11/2022	1610612746	121	0.516	0.947	0.375	26	41	1
20/11/2022	1610612756	116	0.426	0.722	0.436	35	60	1
20/11/2022	1610612764	106	0.43	0.722	0.382	19	49	1
20/11/2022	1610612758	137	0.553	0.886	0.343	29	41	1
20/11/2022	1610612751	127	0.602	0.733	0.471	33	45	1
20/11/2022	1610612739	113	0.53	0.75	0.351	31	49	1
20/11/2022	1610612745	120	0.456	0.852	0.333	24	45	0
20/11/2022	1610612742	97	0.449	0.571	0.357	24	36	0
20/11/2022	1610612747	123	0.529	0.875	0.353	29	54	1
19/11/2022	1610612737	124	0.5	0.781	0.28	23	50	1
19/11/2022	1610612755	109	0.479	0.844	0.438	21	39	0
19/11/2022	1610612757	113	0.47	0.815	0.31	27	43	0
19/11/2022	1610612746	119	0.543	0.526	0.525	32	35	1
18/11/2022	1610612764	107	0.427	0.714	0.326	33	54	1
18/11/2022	1610612739	132	0.533	0.813	0.286	25	50	1
18/11/2022	1610612755	110	0.513	0.654	0.464	28	41	1
18/11/2022	1610612741	107	0.461	0.8	0.238	27	46	0
18/11/2022	1610612745	91	0.337	0.844	0.214	15	49	0
18/11/2022	1610612763	121	0.419	0.725	0.359	26	57	1
